sentence,label
"We'll hear argument next in Case 14-1382, Americold Realty Trust v. ConAgra Foods. Mr. Pospisil. Thank you, Mr. Chief Justice, and may it please the Court: The issue before the Court today is whose citizenship -- citizenship controls for purposes of diversity when a trust is a named party to a lawsuit. We believe, based upon over 200 years of jurisprudence from this Court, the answer is the trustees.
We believe a bright-line rule is appropriate in this case, that in a lawsuit involving a trust, just as with a trustee, the trustee should be the party of interest.
And we should compare it to the -- Why should we get to that question if, when this case began, even if you looked only to the citizenship of the trustees, We'll hear argument next in Case 14-1382, Americold Realty Trust v. ConAgra Foods. Mr. Pospisil. Thank you, Mr. Chief Justice, and may it please the Court: The issue before the Court today is whose citizenship -- citizenship controls for purposes of diversity when a trust is a named party to a lawsuit. We believe, based upon over 200 years of jurisprudence from this Court, the answer is the trustees.
We believe a bright-line rule is appropriate in this case, that in a lawsuit involving a trust, just as with a trustee, the trustee should be the party of interest.
And we should compare it to the -- Why should we get to that question if, when this case began, even if you looked only to the citizenship of the trustees, there was no complete diversity? Your Honor, that -- that is correct. However, we do argue -- and we argued in the Tenth Circuit; it was briefed -- upon whether or not we could dismiss the -- the -- the spoiling nondiverse parties.
That issue was briefed under Evergreen case, and it was briefed before the Tenth Circuit; however, the Tenth Circuit did not address that issue. Respondents bring it up in their brief now; however, our position is that this Court should address the issue that's taken, that it granted cert on, and send that issue back to the Tenth Circuit for review. What the Tenth Circuit held here, the issue that we appealed on, was to look at the beneficiaries as opposed to the trustees.
And we would submit to you that that's just not supportable under common law, and it provides results in an unworkable test that is going to create more confusion than looking at the trustees. At common law, the trustees could sue, couldn't they? They could, Your Honor. And these trustees could not sue, could -- can they? They cannot, Your Honor. Because of a new creature created by Maryland law. That's correct, Justice Scalia.
Maryland law has created a statutory trust, a real estate investment trust. However, our position is that just because that trust can sue and be sued as an entity, that does not change the analysis.
There still has to be somebody we look to, some real people that we look to to determine whose citizenship controls. Well,",0.0
"We'll hear argument first this morning in Case 14-770, Bank Markazi v. Peterson. Mr. Lamken. Thank you, Mr. Chief Justice, and may it please the Court: For nearly 200 years, Congress never enacted a statute that purported to limit the effect to one and only one specified case pending before Article III courts disclaiming any reach beyond that solitary monetary dispute. Mr. Lamken, is it one case? I mean, this is a consolidation for purposes of reaching assets -- it's a consolidation of some 19 cases? No, Your Honor, it is not a consolidation of 19 cases.
It began when the Peterson plaintiffs filed a turnover action.
Other parties were interpleaded.
Other parties intervened.
But it has been one case with one caption, ruled upon by one judge with one decision. Is We'll hear argument first this morning in Case 14-770, Bank Markazi v. Peterson. Mr. Lamken. Thank you, Mr. Chief Justice, and may it please the Court: For nearly 200 years, Congress never enacted a statute that purported to limit the effect to one and only one specified case pending before Article III courts disclaiming any reach beyond that solitary monetary dispute. Mr. Lamken, is it one case? I mean, this is a consolidation for purposes of reaching assets -- it's a consolidation of some 19 cases? No, Your Honor, it is not a consolidation of 19 cases.
It began when the Peterson plaintiffs filed a turnover action.
Other parties were interpleaded.
Other parties intervened.
But it has been one case with one caption, ruled upon by one judge with one decision. Is there -- are there any -- Well, suppose there were three unrelated cases. Pardon? Suppose there were three unrelated cases.
Would the statute pass? Yes.
So if Congress had identified three unrelated cases and -- and said that for these unrelated cases -- Yes, it specifies them by number and so forth. By number. We believe that the result would be the same.
That Congress crosses the threshold from legislation to adjudication when attempts to pass a law which has no effect and no existence apart from specified cases pending before the Supreme -- I -- I inadvertently interrupted Justice Ginsburg, but in the -- in the 19 cases here, you don't find that principle? No, Your Honor.
There aren't 19 cases here.
There's one case here. There was no -- One case for purposes of executing, but there are -- there are 19 judgments involving thousands. That -- that's correct.
There are 19 underlying judgments, but only one execution. Are there -- are there any in this category, that is, cases litigated to judgment for terrorist acts, that are not in this package of 19 cases? I don't know whether there are any others that -- where they were denied intervention here.
But the point, I think the fundamental point is that no future case that's identically situated, no other case except this one case will be subject to this rule. What if there were 19 cases, Mr. Lamken, and Congress specified them all? Yes.
Yes.
I think the answer would be the same.
Would be the same.
And that is that, when Congress",0.0
"We will hear argument next in Case 14-1457, Betterman v. Montana. Mr. Rowley. Mr. Chief Justice, and may it please the Court: The Speedy Trial Clause applies to a criminal prosecution through its culmination in sentencing.
It is not cut off when the defendant pleads or is found guilty.
The Court has said that the clause guarantees an early and proper disposition of a criminal charge, and that guarantee applies to the guilt stage of a prosecution when most defendants plead guilty and to the sentencing stage, which may be the only place in a criminal prosecution today when a defendant actually mounts a defense. Does the Federal Speedy Trial Act -- not the constitutional provision, but the legislation -- does that cover sentencing, or is that limited to trial? We will hear argument next in Case 14-1457, Betterman v. Montana. Mr. Rowley. Mr. Chief Justice, and may it please the Court: The Speedy Trial Clause applies to a criminal prosecution through its culmination in sentencing.
It is not cut off when the defendant pleads or is found guilty.
The Court has said that the clause guarantees an early and proper disposition of a criminal charge, and that guarantee applies to the guilt stage of a prosecution when most defendants plead guilty and to the sentencing stage, which may be the only place in a criminal prosecution today when a defendant actually mounts a defense. Does the Federal Speedy Trial Act -- not the constitutional provision, but the legislation -- does that cover sentencing, or is that limited to trial? Your Honor, my understanding is that it's limited to trial.
The Court has recognized specific interests that are protected by the Speedy Trial Clause, and those interests apply not just to presumptively innocent defendants, as the State and the United States suggests, but some of them apply specifically to guilty defendants. In Barker, for instance, the Court notes that one of the interests that are protected by this -- that is protected by this clause is the interest in rehabilitation, and that a prolonged period of detention in jail can affect a defendant's rehabilitation.
Well, that's specific to a guilty defendant.
And in Smith v. Hooey, the Court noted that even though the defendant had been incarcerated in Federal prison, that that defendant could still be prejudiced by a prolonged delay in the State prosecution that followed because it could affect his ability to seek a concurrent sentence.
That interest also is specific to a guilty defendant. So the sharp line between the guilt stage of a prosecution and the criminal -- and the sentencing stage of a prosecution isn't supported by this Court's speedy trial precedents. What do you do with the -- all of our speedy trial decisions say there's only one remedy, and that is case over.
Dismissal is the only appropriate remedy.
But you're -- you're not arguing that, I understand, with respect to sentencing. Yes, Your Honor. You are arguing -- We were not arguing that. So it's different.
The speedy trial requirement says if you -- if you don't comply with the constitutional provision, dismissal.",0.0
"We'll hear argument first this morning in Case 14-1468, Birchfield v. North Dakota and the related cases. Mr. Rothfeld. Thank you, Mr. Chief Justice, and may it please the Court: The fundamental problem with the statutes at issue in these three cases is that they make it a criminal offense to assert a constitutional right. Under laws of North Dakota and Minnesota, a person who is stopped on suspicion of impaired driving is obligated to take a warrantless chemical test to determine the alcohol content of their blood. The States concede that these tests are searches under the meaning of the Fourth Amendment.
The United States and North Dakota appear to recognize that no exception under the recognized exceptions of the warrant requirement applies.
Nevertheless, a person is obligated to We'll hear argument first this morning in Case 14-1468, Birchfield v. North Dakota and the related cases. Mr. Rothfeld. Thank you, Mr. Chief Justice, and may it please the Court: The fundamental problem with the statutes at issue in these three cases is that they make it a criminal offense to assert a constitutional right. Under laws of North Dakota and Minnesota, a person who is stopped on suspicion of impaired driving is obligated to take a warrantless chemical test to determine the alcohol content of their blood. The States concede that these tests are searches under the meaning of the Fourth Amendment.
The United States and North Dakota appear to recognize that no exception under the recognized exceptions of the warrant requirement applies.
Nevertheless, a person is obligated to take this warrantless -- to submit to this warrantless search, and is committing a criminal offense if he or she does not do so. Is it correct to say that you concede that the State could revoke the driver's license for refusing to take the test, either blood-alcohol or Breathalyzer? That -- that is not at issue in this case.
We haven't taken a position on that, but -- but I -- but we don't dispute for purposes of this case that the State could do that. Well, let's -- let's assume that that is a concession or that we hold that or that that's a premise.
If the State can impose a civil administrative sanction, why couldn't it also impose a criminal sanction? We could have hypotheticals where you would just be no more than three days in jail, criminal sanction, or a three-year suspension, which is obviously greater.
Why should there be a difference? I -- I think the fundamental distinction that -- that governs the outcome of this case, we think, is that -- is that between the State taking away a benefit that it didn't have to give you in the first place, which is what the Court addresses in the unconstitutional conditions line of cases, and this situation here, where the State is saying by fiat, you are subject to a criminal penalty, affirmative criminal penalty, for -- for asserting a constitutional right. In the case that you are hypothesizing -- Well, I think the conditions are just different.
I -- I don't",1.0
"We'll hear argument next in Case 14-844, Bruce v. Samuels. Mr. Shelley. Mr. Chief Justice, and may it please the Court: There are at least three reasons why the Court should adopt what the courts of appeals have called the per-prisoner approach under PLRA Section 1915(b)(2). One, the per-prisoner approach best comports with the statutory text. Two, the per-prisoner approach is the only one consistent with the careful balance Congress struck between deterring frivolous prisoner lawsuits and preserving their right to bring meritorious ones. And three, the per-prisoner approach avoids anomalies and disincentives that Congress could never have intended, disincentives such as discouraging prisoner work by taking one hundred percent of their income month after month. I would like to, of course, start with the text.
The key sentence We'll hear argument next in Case 14-844, Bruce v. Samuels. Mr. Shelley. Mr. Chief Justice, and may it please the Court: There are at least three reasons why the Court should adopt what the courts of appeals have called the per-prisoner approach under PLRA Section 1915(b)(2). One, the per-prisoner approach best comports with the statutory text. Two, the per-prisoner approach is the only one consistent with the careful balance Congress struck between deterring frivolous prisoner lawsuits and preserving their right to bring meritorious ones. And three, the per-prisoner approach avoids anomalies and disincentives that Congress could never have intended, disincentives such as discouraging prisoner work by taking one hundred percent of their income month after month. I would like to, of course, start with the text.
The key sentence is in -- the key sentence is the second sentence of Subsection (b)(2)
It says the following: ""The agency having custody of the prisoner shall forward payments from the prisoner's account to the clerk of the court"" -- singular -- ""each time the amount in the account exceeds $10 until the filing fees"" -- plural -- ""are paid."" The combination of that singular, clerk of the court, and filing fees, plural, indicates the per-prisoner approach because it means one clerk is to receive payments, even when there are numerous filing fees. Filing fees, the plural, appears in the -- There -- there -- -- in the statute exactly twice. Can't there be more than one filing fee for a single court? No, there cannot, not in the way Congress understood the term in the PLRA.
If you look to (b)(1) and (b)(3), Congress creates it almost as a term of art.
A filing fee includes -- a filing fee, with the word ""filing"" in front of ""fee,"" a filing fee includes all of the subsidiary costs to start up a case. So a court of appeals, for instance, has a $500 docketing fee and a $5 statutory fee, and that's referred to as a -- So what happens if you have -- the district court makes an order, there has to be a filing fee? In the district court? Yes, and then that fee is not totally paid.
In fact, the prisoner loses, so there's a cost award in addition.
And then it goes up to the court of",0.0
"We'll hear argument first this morning in Case 14-857, Campbell-Ewald Company v. Gomez. Mr. Garre. Thank you, Mr. Chief Justice, and may it please the Court: To affirm the Ninth Circuit on the first two questions presented, this Court must accept the following two propositions: First, a plaintiff can force a court to adjudicate the merits of his claim simply by refusing the defendant's offer of capitulation and complete relief. And, second, that a plaintiff has what amounts to a substantive right to class litigation that applies as soon as the complaint is filed and that entitles the case to proceed even if his individual claim drops out before -- Is there any controversy over whether the -- the -- the offer is complete relief? I don't think We'll hear argument first this morning in Case 14-857, Campbell-Ewald Company v. Gomez. Mr. Garre. Thank you, Mr. Chief Justice, and may it please the Court: To affirm the Ninth Circuit on the first two questions presented, this Court must accept the following two propositions: First, a plaintiff can force a court to adjudicate the merits of his claim simply by refusing the defendant's offer of capitulation and complete relief. And, second, that a plaintiff has what amounts to a substantive right to class litigation that applies as soon as the complaint is filed and that entitles the case to proceed even if his individual claim drops out before -- Is there any controversy over whether the -- the -- the offer is complete relief? I don't think so, Your Honor. The district court found that it was at page 40 of the Petition Appendix.
The Ninth Circuit decided this case based on that premise.
That's at page 5a of the Petition Appendix. So I think as the case comes -- Do we take it on that assumption, too? I think you should, Your Honor. Now -- now, they have argued below that the only reason that it wasn't for complete relief was that -- because it didn't provide for attorneys' fees.
But the TCPA, the underlying statute here, does not provide for attorneys' fees. But that's a merits question as to whether they're entitled to attorneys' fees.
If the question is complete -- you know, ""complete relief"" means what the plaintiff has asked for.
The plaintiff has asked for attorneys' fees here. I don't think that's what ""complete relief"" means, Your Honor.
I think it means that the plaintiff has received everything that he could -- that he could if he received a judgment in this -- in -- Well, he would -- he would receive a finding of liability, which you didn't admit in your offer. He -- I -- He would -- he would be entitled to an injunction against that activity, the activity that caused this particular situation, and if others were shown, to an injunction in other ways. So I don't see how this could be -- putting aside the class action, putting aside the attorneys' fees, those appear to me to be fairly critical liability determinations that were not made by the",0.0
"We will hear argument first this morning in Case 14-1375, CRST Van Expedited v. Equal Employment Opportunity Commission. Mr. Smith. Mr. Chief Justice, and may it please the Court: On the issue we initially asked this Court to resolve in the petition for certiorari, the parties are now in complete agreement.
That issue, of course, was whether a prevailing defendant in a Title VII case is barred from seeking attorneys' fees if it hasn't prevailed on the merits.
As we showed in our opening brief, such a rule, which exists only in the Eighth Circuit, makes little sense.
It doesn't -- it is certainly not compelled by the statutory language and doesn't serve any rationing statutory policy to take away the power of work fees in a -- in a case We will hear argument first this morning in Case 14-1375, CRST Van Expedited v. Equal Employment Opportunity Commission. Mr. Smith. Mr. Chief Justice, and may it please the Court: On the issue we initially asked this Court to resolve in the petition for certiorari, the parties are now in complete agreement.
That issue, of course, was whether a prevailing defendant in a Title VII case is barred from seeking attorneys' fees if it hasn't prevailed on the merits.
As we showed in our opening brief, such a rule, which exists only in the Eighth Circuit, makes little sense.
It doesn't -- it is certainly not compelled by the statutory language and doesn't serve any rationing statutory policy to take away the power of work fees in a -- in a case of a non-merits disposition. The EEOC, having staunchly defended that rule in its brief in opposition, executed an about-face in its merits brief and now agrees with us that a non-merits disposition can be the basis of a defendant attorneys' fee award under Title VII. Now, for that reason and for all the reasons in our opening merits brief, which the government apparently found convincing, at least, we would suggest that the Court should reverse the Eighth Circuit's ruling and resolve the circuit conflict and rule that prevailing defendants can seek fees as long as they meet the Christiansburg standard, whether or not the disposition was on the merits. If there are no questions about that, the second issue is, what do we do -- Isn't the standard whether the EEOC's actions were frivolous, unreasonable, or without foundation? That's the Christiansburg standard, yes, Your Honor. So what difference does it make on what ground it was dismissed? I couldn't agree more. I've been reading these briefs, and with or without prejudice, merits, non-merits, I don't know that even if a judge gets to that point of deciding whether it was on the merits or not, that's not enough.
You always have to decide the bottom line. Right.
But the Eighth Circuit's ruling was that even if it was frivolous or unreasonable or without foundation, if the reason it was frivolous or unreasonable or without foundation was the fact that it was res judicata, or was time-barred or something like that -- There wasn't the slightest suggestion",1.0
"We'll hear argument next in Case 15-446, Cuozzo Speed Technologies v. Lee. Mr. Beeney. Mr. Chief Justice, and may it please the Court: I'd like to begin this morning with why the use of the broadest-reasonable-interpretation expedient in no way comports with the congressional purpose of inter partes review, and then address why the Board's ultra vires determination in instituting inter partes review is subject to judicial review. Consistent with history, Congress left to the judiciary to determine construction standards, and therefore, in the American Invents Act, there is no explicit statutory language directing the Patent and Trademark Office to use any particular standard of claim construction. But this Court should reverse, as a matter of statutory construction, for four reasons.
First, in summary, all agree that the broadest-reasonable-interpretation We'll hear argument next in Case 15-446, Cuozzo Speed Technologies v. Lee. Mr. Beeney. Mr. Chief Justice, and may it please the Court: I'd like to begin this morning with why the use of the broadest-reasonable-interpretation expedient in no way comports with the congressional purpose of inter partes review, and then address why the Board's ultra vires determination in instituting inter partes review is subject to judicial review. Consistent with history, Congress left to the judiciary to determine construction standards, and therefore, in the American Invents Act, there is no explicit statutory language directing the Patent and Trademark Office to use any particular standard of claim construction. But this Court should reverse, as a matter of statutory construction, for four reasons.
First, in summary, all agree that the broadest-reasonable-interpretation expedient demands a broad ability to amend claims, and that's so because the broadest reasonable interpretation brings into play a broader array of prior art that may be distinguishable if the claims were given their actual interpretation. In establishing inter partes review, Congress sought to substitute and provide a district court-like litigation for the determination of patentability, and therefore, did not provide the wide liberty to amend claims, as Justice -- I might be moved by your argument if Congress had not given any right for the Board to amend, because that would be consistent with practices in the district court, where district court can't amend under any circumstance.
But basically, Congress here said you can amend once.
I'm not sure that that supports your proposition. I think -- Justice Sotomayor, I think there is a distinction between allowing a party to make a motion to amend and the absolute right to amend even once.
And Congress did not provide any right to amend in inter partes review.
It provided only an extremely limited ability to seek to amend.
And, in fact, in practice, that opportunity to seek to amend is almost always denied.
And it is denied consistent with congressional intent of establishing inter partes review to be court -- a court-like adjudication.
So simply as a matter of numbers, the Board has denied 95 percent of the motions to amend.
In 42 months of inter partes review, the Board has allowed five motions to amend and allowed four -- less than 30 claims to be amended, while canceling 10,000 claims.",0.0
"We'll hear argument next in Case 15-458, Dietz v. Bouldin. Mr. Shanmugam. Thank you, Mr. Chief Justice, and may it please the Court: When a judge discharges a jury after it reaches a verdict, the jury's service is at an end and the jurors return to being ordinary members of the public.
This case presents the question whether a district court has inherent authority under Article III of the Constitution to recall discharged jurors for further service in the same case, here, for the purpose of deliberating anew and reaching an entirely different verdict. The answer to that question is no.
The established rule of common law forbade the recall of discharged jurors.
In numerous respects, the Federal Rules of Procedure reflect the understanding that a district court's authority ends at We'll hear argument next in Case 15-458, Dietz v. Bouldin. Mr. Shanmugam. Thank you, Mr. Chief Justice, and may it please the Court: When a judge discharges a jury after it reaches a verdict, the jury's service is at an end and the jurors return to being ordinary members of the public.
This case presents the question whether a district court has inherent authority under Article III of the Constitution to recall discharged jurors for further service in the same case, here, for the purpose of deliberating anew and reaching an entirely different verdict. The answer to that question is no.
The established rule of common law forbade the recall of discharged jurors.
In numerous respects, the Federal Rules of Procedure reflect the understanding that a district court's authority ends at the point of discharge. I thought you had a clear bright-line rule until I got to page 9 of your reply brief, where you say, ""A jury may remain effectively undischarged despite a judge's pronouncement of discharge."" There are cases where you agree that if the judge says you're discharged, they're not really discharged, and the judge can say, oh, come on back. I've got something else you've got to do. Mr. Chief Justice, our rule is clear.
It's a rule that a district court lacks the authority to recall discharged jurors.
The question that we discuss at page 9 of our reply brief is the question of what the definition of a discharge is.
And what we offer -- Well, that's pretty lawyerly. (Laughter.) Thank you, Mr. Chief Justice. (Laughter.) Saying anytime you're discharged, it's over.
Now, discharge may not be discharge in every case.
Because you recognize that there are cases where the judge says you're discharged but you would allow them to come back. And that is simply, Mr. Chief Justice, because we believe the discharge is an act; it's not just a pronouncement.
And that's what the vast majority of the lower courts have said.
They have said that a jury is discharged when, having been released from service, the jurors have left the judge's presence and control. Okay.
Presence and control.
Now, that's -- that's the key distinction that you have? That is what lower courts have said, and we're certainly comfortable with that distinction.
And if -- So if they're still -- if they're still in the courtroom,",0.0
"We'll hear argument next in Case 14-462, DIRECTV v. Imburgia. Mr. Landau. Thank you, Mr. Chief Justice, and may it please the Court: The court below violated the Federal Arbitration Act by refusing to enforce the parties' arbitration agreement on grounds the Ninth Circuit characterized as ""nonsensical."" The agreement provides for individual arbitration and expressly precludes class arbitration. And just to underscore that point, it specifies that if State law would force the parties into class arbitration, then the entire arbitration agreement would be unenforceable. The court below interpreted the reference to State law to mean inoperative State law preempted by the FAA.
But neither respondents nor the court below identified a single case in the history of California or American law adopting that interpretation for any contract.
And it We'll hear argument next in Case 14-462, DIRECTV v. Imburgia. Mr. Landau. Thank you, Mr. Chief Justice, and may it please the Court: The court below violated the Federal Arbitration Act by refusing to enforce the parties' arbitration agreement on grounds the Ninth Circuit characterized as ""nonsensical."" The agreement provides for individual arbitration and expressly precludes class arbitration. And just to underscore that point, it specifies that if State law would force the parties into class arbitration, then the entire arbitration agreement would be unenforceable. The court below interpreted the reference to State law to mean inoperative State law preempted by the FAA.
But neither respondents nor the court below identified a single case in the history of California or American law adopting that interpretation for any contract.
And it would be -- What about the problem that this is California law and a California court said that's what the contract means under California law? In other words, I can't find a case that we're supposed to say -- or we have the power to say that they're wrong, even if they were to say the words ""do not turn on the light"" mean turn on all the lights. Your Honor. So -- so -- and they may have done that in this case. Here -- Nonetheless, what do we do about it? What you do about it is look to the Federal Arbitration Act.
There is not a general Federal contracts act, but there is a Federal Arbitration Act that Congress passed specifically because a particular kind of contract was not getting enforced by the courts, and Congress was concerned about that.
So what Congress -- The principle of contract interpretation -- I -- I beg to differ with Justice Scalia, the -- I thought that what the court asked itself is what did the parties intend when they used the words ""State law""? Correct. Is that correct? That's what the court purported to answer. That's the interesting part.
You used the word ""purported."" What California law did it apply -- Correct. -- that disfavors arbitration? What contract principle did they use? Well, again, a lot of cases, you have courts that are -- are bringing in some principle external to the contract, and those are kind of easy cases.
This Court has now made clear that",1.0
