sentence,label
"We'll hear argument next in Case 18-877, Allen versus Cooper. Mr. Shaffer. Mr. Chief Justice, and may it please the Court: When states infringe the exclusive federal rights that Congress is charged with securing, Congress can make states pay for doing so.
That's our respectful submission today, one that follows from the Constitution's text and affords ample basis for this Court to uphold the work Congress did in enacting the CRCA. Article I, Section 8, clause 8, what we're calling the intellectual property clause, is unique within Article I in laying down an express constitutional mandate for Congress to protect specified private property rights against any and all intrusion. Consider just how pointed and clear the constitutional text is.
Congress is not only to be granting copyrights but securing them, the request for injunctive relief.
And that's how it goes in copyright cases. Now, as to the notion that there could be individual suits against individual officers under 1983, you're exactly right, Chief Justice, qualified immunity is a defense in this context. I'd commend to the Court the Fourth Circuit's decision on this point.
It's at 37a, 39a.
They basically said, because there's some defense that's available to these officials, they say they read the settlement agreement differently, maybe they didn't know it was copyright infringement, maybe they weren't looking for the watermarks or the -- the time stamps, that is a good enough defense.
Qualified immunity gets them out of the case, and those claims, too, were dismissed. That's why it's so important, part of why it's so important, in copyright cases that there be secure remedies for copyright holders. That's true against states and it's true against anyone.
Most copyright holders, unlike patent holders, Justice Alito, these are small fish, they have not sunk costs into this sort of a registration. And they need to have secure statutory damages and attorneys' fees in order to come to court at all because, in copyright cases, as Congress found from the testimony before it and the -- and the submissions of the register, you need to have statutory damages.
Otherwise, how can you quantify what the harm was? And especially given how small the stakes are in copyright cases and how under-heeled most copyright plaintiffs are, if you don't have those statutory damages, you don't have a right.
And that is specifically found by Congress in the House report at pages 9 and 10. So, Justice Kavanaugh, you asked about what happens in ordinary cases.
This is exactly what Congress looked at.
They said the rule in copyright cases, absent the CRCA, is that copyright infringement pays for states.
They will get away with it every time.
You will not have copyright holders who have incentives and means and attorneys to bring suit.
That should not be the outcome in this case. And to say it, respectfully, that it's incumbent upon every copyright plaintiff who sues a state to prove a constitutional violation and willfulness in the way that Mr. Park articulates is to render the right nugatory and the CRCA as well. Thank you, Mr. Chief Justice. Thank you, counsel.
The case is submitted.",0.0
"We'll hear argument next in Case 17-1498, Atlantic Richfield versus Christian. Ms. Blatt. Thank you, Mr. Chief Justice, and may it please the Court: This case involves whether the hundreds of thousands of landowners on Superfund sites can bring state lawsuits to implement their own piecemeal hazardous waste cleanups. The answer should be no. CERCLA entrusts EPA to protect human health and the environment by developing a remedial plan that protects the whole community. Respondents are profoundly wrong that removing waste is always better than leaving it in place. Superfund sites contain extremely hazardous substances, lead, mercury, plutonium, to name a few.
Excavation, transportation, and disposal of these substances is risky not only to neighbors but the millions of people who live next door to Superfund sites.
Whether these risks hook. But the real question is one of status.
And it's -- Justice Gorsuch and Justice Kavanaugh, you were wrong on this as being a question of who has to sue and a burden.
EPA would have no way of knowing what -- they only know in this case and wrote them a letter because there's a lawsuit and a Supreme Court case in the state of Montana, but there are hundreds of thousands of people who live on -- live on Superfund sites with uranium and God knows what else, and how is EPA exactly supposed to know when someone is removing uranium? It has a half-life of 4.7 billion years. Arsenic has no half-life.
It always is there.
It cannot be destroyed.
It doesn't evaporate.
So, yeah, they have some restrictions before they move hazardous waste. The other thing is in terms of who you'd have to sue, I would freak out if I got a -- a -- a letter.
Their view is you have to sue these poor innocent landowners and say you're liable under CERCLA.
Just so you know, that's the only way we can keep control of the site. That's the only way we're going to know and then, you know, now they're on notice because, otherwise, you would have this metaphysical thing of who knows who's liable? In terms of the taking issue, and I think that Justice -- I mean, you guys already answered this, but this is really a question of do you have to go to EPA.
If EPA denies permission and they want to bring a takings claim, go sue EPA. There's also a citizen suit provision that in 2025, they can bring a lawsuit and say: EPA, your remedy was terrible, we don't like it, it violated CERCLA, come up with a new one. That -- that's what the citizen suit provision is before -- for. On the mouse hole point, I don't think it's a mouse hole.
So it has mouses or elephants, I guess, all the way in the statute. There are provision after provision in the contiguous landowner, in the demicrominimus -- or whatever that word is -- in the bona fide landowner that says at all times you have to make sure you don't interfere with EPA's remedy. Thank you. Thank you, counsel.
The case is submitted.",1.0
"We'll hear argument this morning in Case 18-882, Babb versus Wilkie. Mr. Martinez. Mr. Chief Justice, and may it please the Court: Section 633a states that all federal personnel actions shall be made free from any discrimination based on age.
Both parties agree that that language tracks the text and meaning of Title VII's identical federal sector provision covering race, sex, and religion. Together the two provisions bar discrimination not only in the ultimate outcome of a personnel decision but also in the process of making that decision.
That's true regardless of whether the prohibited characteristic at issue is a but-for cause of the final decision. That's the rule that the MSPB and the EEOC have applied in countless cases for many years, but more importantly it flows directly from that this provision is not enforceable and that's the rule that courts across the country have applied. The Solicitor General has had months to come up with a solution to this hypothetical, and the best the Solicitor General can do is come up with a statutory provision that's unenforceable. That puts victims of discrimination in exactly the same position they were in before this statute was enacted, where they had remedies that were not enforceable.
Congress stepped in here.
It passed a broad statute because it wanted to protect these people. Your Honor, I leave you with the statutory text which says very clearly that all federal personnel actions shall be made free from any discrimination based on age.
A decision that's made by applying a younger-is-better policy, contrary to the Solicitor General, is not made free from any discrimination based on age. You know, I -- I assume, and I hope, that we would not see within any federal agency any sort of policy like younger is -- is better.
And so I'm not sure what practical benefit you are going to provide for in the typical individual age discrimination employment case if you say that the person can't get reinstatement or whatever, absent but-for causation, but there are going to be these other equitable remedies available.
I don't know what kind of injunction would be available -- would be of practical benefit in a case like that. May -- if I may answer? Two quick points, Your Honor.
First of all, I think -- I agree with you, we would not like to see agencies doing these sorts of things.
If you look at the Brenton case that we cite at pages 41 to 42 of our brief, that case involved a -- a written memorandum.
The policy said that someone's ability to control traffic declines with age, and they were treating applicants for those positions badly for that reason. I think -- more broadly, Your Honor, I think the injunctive relief and the prospective remedies that are available are extremely important in -- in the real world, which is precisely why, in the equal protection context, you've recognized the importance of that kind of injunctive relief, and we think that relief is just as important here.
We ask you reverse. Thank you, counsel, General. The case is submitted.",1.0
"We'll hear argument next in Case 18-6943, Banister versus Davis. Mr. Burgess. Thank you, Mr. Chief Justice, and may it please the Court: The Fifth Circuit's decision should be reversed for either of two independent reasons. First, a Rule 59(e) motion filed within 20 days of judgment is part of the first full opportunity to pursue habeas relief.
It is not a second habeas application. In the 50 years between Rule 59's adoption and AEDPA's enactment, there is no record of a court ever treating a timely Rule 59 motion merely seeking reconsideration as though it were a second habeas application.
AEDPA did not change this settled practice, and nothing in this Court's Gonzalez decision suggests otherwise. Rule 60(b) motions present obvious opportunities to circumvent AEDPA's restrictions, as the facts be an attack on the integrity of the judicial proceeding, which is distinct in their view from arguing, district court, you got it wrong. Similarly, the Fifth Circuit takes the view that alleging a conflict of interest by habeas counsel would be attack on the integrity of the proceeding, even though this Court recognized in Gonzalez that merely arguing that appellate -- that habeas counsel missed an issue or failed to develop it would not be something that goes to the integrity of the proceeding. The point is not whether the Fifth Circuit is right or wrong about those classifications but that there are boundary cases and that it can be difficult.
And to require a Fifth -- a district court to make those threshold determinations and then potentially to have a court of appeals make a different determination about it is going to be much less efficient, is going to create real uncertainty about rules that are supposed to be clear and -- and -- and are linked to the time to appeal. The last point I'd like to make is with regard to Rule 4(a) and to Texas's argument about that.
Their argument, as I understand it, relies on examples that exclusively involve instances that are not seeking genuine Rule 59(e) relief and you need to look beyond the pleading to that -- to at least that extent. Well, that requirement comes right in the text of the rule itself.
It has to be a motion under Rule 59(e) to alter or amend the judgment.
If you title something Rule 59(e) and then you ask for attorneys' fees or you title it Rule 59(e) and say I want an extension, but you don't actually ask to alter or amend the judgment, it doesn't satisfy the plain text of the rule. But Texas has expressly conceded -- this is at page 44 of their brief -- that Mr. Banister did file a true Rule 59(e) motion. They just think it should be subject to Section 2244(b).
But, even if it is, that doesn't mean that the motion wasn't filed, that it was a true Rule 59(e) motion seeking that relief, and that is all that Rule 4(a) requires. If the Court has no further questions, we ask you to reverse. Thank you, counsel.
The case is submitted.",1.0
"We'll hear argument next in Case 19-631, William Barr, Attorney General versus the American Association of Political Consultants. Before we get started, I would like to remind everyone to turn their cell phones off. Mr. Stewart. Thank you, Mr. Chief Justice, and may it please the Court: In 1991, Congress enacted the TCPA's basic restriction on the placement of automated calls to cell phones.
In the years that followed, lower courts consistently upheld the constitutionality of that provision as a content-neutral restriction on the use of calling technologies that consumers found particularly intrusive and annoying. Congress's enactment of the government-debt exception in 2015 did not introduce any constitutional infirmity into the statutory scheme.
That exception is limited to a narrow category of calls that intrude less severely on consumer privacy it. And that's contrary to the -- the usual understanding that the First Amendment exists to foster speech.
It's contrary to the Court's reference in Reed to laws that target speech because of its communicative content. Why would the Court review more skeptically the law that looked at the same basis as a rationale for exempting speech rather than to regulate? The second thing is Mr. Martinez said many times that Congress and the FCC have exempted non-commercial calls from the automated-call restriction.
And I think that really overlooks the respective responsibilities of Congress and the FCC. Congress has broadly regulated at least calls using a pre-recorded voice or an artificial voice to residential landlines just as it has calls to cell phones.
Both of the underlying bans encompass non-commercial calls. Congress has vested the FCC with broad, though not identical, authority to exempt particular categories of calls from the residential and the cell phone ban respectively, and you can look at page 5A and 6A of the appendix to the government's merits brief to see that the -- the exemption authority is -- is basically comparable. The discrepancy under current law results from the fact that the FCC has exercised its exemption authority much more robustly with respect to residential landlines than it has with respect to cell phones.
That can't create a facial constitutional infirmity in the statute itself.
If people think that the FCC should adopt comparable exemptions for non-commercial calls to cell phones, they can file a petition to that effect. The -- the last thing I'd say in respect is -- goes to the colloquy between Mr. Martinez and Justice Kagan, where Mr. Martinez said, yes, if they had framed it not in terms of the content of the call but in terms of all calls from the holder of a government-backed debt to -- to the debtor that that would be subject to more relaxed scrutiny.
And that would simply be -- an approach that distinguished on that basis would simply encourage Congress to enact laws with more of a broad brush. It would discourage Congress from trying to fine-tune laws, and that discouragement would only be exacerbated if we took the Respondents' approach to severability striking down the whole law. Thank you, Mr. Chief Justice. Thank you, counsel.
The case is submitted.",0.0
"We'll hear argument first this morning in Case 18-725, Barton versus Barr. Mr. Unikowsky. Mr. Chief Justice, and may it please the Court: The question before the Court today is, what does it mean for an offense to render an alien inadmissible for purposes of the stop-time rule? The Court should hold that an offense renders an alien inadmissible if the immigration judge finds that the offense renders the alien inadmissible at the removal hearing that precipitates the need to apply the stop-time rule. If the Court disagrees with that and agrees with the Eleventh Circuit that inadmissible is a status, it should hold that an alien acquires that status when the alien is capable of being charged with inadmissibility. In this case, neither condition is satisfied.
Petitioner was the surplusage on the government side is a -- is a lot more significant in the hope that the removal clause isn't there. It's not just a matter that there's surplusage.
I mean, surplusage is generally bad.
But I think here it's more than that.
You see the words ""inadmissible"" and ""removable"" paired with each other.
And I think that just implies that Congress is thinking that those are the two things that can happen to you.
And if you're inadmissible, you fall in one bucket, and if you're removable, you're in another bucket. And we see all over the adjacent statutes this concept of inadmissibility and deportability together with an ""or"" in between.
And it's -- it's clear in all those contexts that that's why that's -- that's why they're there, because those are the -- the two true outcomes. So just in -- in the intro of the cancellation of removal statute, where it says the attorney general may cancel removal of an alien who is inadmissible or deportable. Clearly, the reason those two things are paired together is that those are the two things that can happen to you.
And so that's why they're both there. And the same in just the general statute governing removal procedures, 1229a, that says that the immigration judge shall decide the inadmissibility or deportability of an alien, it's clear why those two words are there with the ""or"" in between, because those are the two things that can happen. So you go to the stop-time rule, which, after all, is -- is just like a buried definitional provision in the cancellation of removal statute itself, and you have ""inadmissible"" or ""removable."" And the natural inference is that the reason those are there is that those are the two things that can happen. That fits our interpretation perfectly because, if you're found inadmissible, then you're in the admissible category.
And if you're found deportable, then you're in the deportable category, or removal category. Excuse me.
I think that's a lot more persuasive than this rather convoluted argument from the government which apparently the government didn't even think of until its brief in this case because it explicitly did -- did not make this argument in an en banc petition filed less than a year ago. Thank you. Thank you, counsel.
The case is submitted.",0.0
"We'll hear argument first this morning in Case 17-1618, Bostock versus Clayton County, and the consolidated case. Ms. Karlan. Thank you, Mr. Chief Justice, and may it please the Court: When a employer fires a male employee for dating men but does not fire female employees who date men, he violates Title VII. The employer has, in the words of Section 703(a), discriminated against the man because he treats that man worse than women who want to do the same thing.
And that discrimination is because of sex, again in the words of Section 703(a), because the adverse employment action is based on the male employee's failure to conform to a particular expectation about how men should behave; namely, that men should be attracted only to women and not was a woman. Somebody who comes in and says I'm not going to tell you what my sex is, but, believe me, I was fired for my sexual orientation, that person will lose. Well, if that's the case, then I think your whole argument collapses because sexual orientation then is a different thing from sex. Of course it is.
No one has claimed that sexual orientation is the same thing as sex.
What we are saying is when somebody is fired who -- Well, let me amend it. Your argument is that sex -- discrimination based on sexual orientation necessarily entails discrimination based on sex. But if it's the case that there would be no liability in the situation where the decision maker has no knowledge of sex, then that can't possibly be true. If there was that case, it might be the rare case in which sexual orientation discrimination is not a subset of sex. But in the case where the person knows the sex of the person that they're firing or refusing to hire, and knows the sex of the people to whom that person is attracted, that is sex discrimination, pure and simple. And it's important to understand that -- and -- and this goes back to something that Justice Ginsburg asked during the opening argument, that discrimination against gay men and discrimination against lesbians is not one thing. And in 1964, if you look at the members of Congress's brief, they will tell you if you looked in the dictionary there was no phrase ""sexual orientation."" That is a modern way of combining two kinds of discrimination: Discrimination against gay men, which goes back to Leviticus and the common law, and discrimination against lesbians, which was not part of Leviticus and was not part of the common law. Indeed, in 1964, there were only 16 states in the United States that clearly forbid some act in which lesbians could engage. So the idea that this is one large idea about sexual orientation discrimination in the abstract, without reference to sex, simply burkes the history and burkes the understanding. And if you look at the harassment cases, you will see why this is true.
Gay men are harassed in a different way than lesbians. Thank you. Thank you, counsel.
The case is submitted.",1.0
"We will hear argument first this morning in Case 19-465, Chiafalo and others versus the State of Washington. Mr. Lessig. Mr. Chief Justice, and may it please this Court: The cases -- the question in these cases is straightforward: Do the states have the power to control through law how an elector may vote? They do not.
The ordinary expected meaning of the words of the Constitution, against the background of the framers' deliberation, make it clear that the states have no such power. But what is also clear is that Washington does not like the Constitution's design.
It asks this Court to read the word ""elector"" as agent or, maybe better, minion, and it declares that the votes electors cast are not, as the Constitution expressly describes them, their and to enforce that requirement. We ask you to reaffirm that principle today. Thank you. Thank you, General. Mr. Lessig, you have two minutes for rebuttal. Thank you, Mr. Chief Justice. Your -- Your Honors, the State has relied upon early statutes which it says affirm the power of the state to remove electors because they violate a condition.
Absolutely none of those statutes have anything to do with the conditions on voting. Those statutes related to the appointment power.
They were incidental to the appointment power.
So you can see obviously that, incidental to the appointment power, the State has the authority to make sure someone -- someone shows up to vote.
And we believe that general laws apply to electors as well.
This is not a general immunity.
But they have no power to control the vote and they never have exercised that. The State has asserted that because they appoint the electors, they get to control the electors.
But, in fact, the authority they rely on is quite explicit.
Myers, at page 119, says the reason for this is that those in charge of and responsible for administering functions of government need the authority to control them by removing them.
That was the reason for the principle. But there is nothing in the founding to suggest that the framers imagined the states administering the Electoral College.
That's why the states don't appear in the Twelfth Amendment at all. And, finally, Your Honor, if you recognize this power, how do you cabin it? If you find the State has the power to regulate electoral votes, may the State forbid the elector from voting for a candidate who has not visited the state, who has not released his tax returns, as bills in New Jersey and New York purport to do, or has not pledged to appoint justices who will uphold Roe? Open this door and there are an endless list of partisan opportunisms that will tempt the states.
Throughout history, there have been amendments to change the elector discretion, every single time recognizing there was that discretion. For the State of Washington, in 1977, to discover it is to show they were chumps believing they didn't have this power.
And we believe the power has always been with electors to exercise discretion. Thank you, Your Honor. Thank you, counsel.
The case is submitted.",0.0
"We'll hear argument first this morning in Case 18-565, CITGO Asphalt Refining Company versus Frescati Shipping Company. Mr. Phillips. Thank you, Mr. Chief Justice, and may it please the Court: The basic issue in this case is what ought to be the default rule for what is the generally referred to as safe-port or safe-berth clause in the standard charter party form that has, frankly, governed the transportation of ocean-going vessels for a very, very long time. There are -- the court below concluded that -- based on the language referring specifically to ""staying afloat and safely,"" that this imposed a strict liability on the charterer, my client, who designated that Paulsboro, New Jersey, would be the port of entry for these particular goods. That is an extraordinary against all things that can happen. And I submit to you that if you're not the insurer against all bad things that happen, one of the bad things that you're not insuring against is the anchor in this particular case. It is not a characteristic of this port.
This Court specifically defined objects in the sea, submerged objects in the sea that are unknown and unknowable as perils of the sea, not as characteristics of the port. The Court's already been down this road.
It ought to follow that same position that it took in G.R. Booth. And then finally, with respect to Gilmore and Black, what they say is the text is being way over-read by the prior decisions. All of those decisions ignore this Court's statement in Atkins that this cannot fairly be immediately assumed to operate as a warranty. And, finally, what they said as a matter of both policy and maritime commerce concerns is that the charterer is in the least effective position to prevent the prob -- the -- the injuries that will arise under these circumstances. And it makes no sense to put it on the backs of the party least capable of dealing with the problem because it creates insurance risks, it imposes unlimited potential liability, which this Court has consistently recognized. I'm not saying that this all should fall on -- on Mr. Goldstein's client.
Mr. Goldstein, if determined today, if this Court were to decide today that there's no liability for CITGO, he can go back to -- to the federal government and seek complete exoneration because the third-party here, the person who left the anchor in that -- in that waterway, didn't identify it, didn't tell anybody about it, that's the person who should be liable. We can't find that person.
There are two ways to deal with that.
There's exoneration for him completely because of that third-party, and there's the oil spill fund which would take care of it. My client's already spent more than $100 million on that fund.
It should not be -- it is not an equitable result to impose another $140 million solely on the party least capable of avoiding this particular problem. If there are no other questions, I would urge you to reverse, Your Honor. Thank you, counsel.
The case is submitted.",0.0
"We'll hear argument next in Case Number 19-518, the Colorado Department of State versus Micheal Baca.
I note at the outset that Justice Sotomayor is recused in this case. General Weiser. Thank you, Mr. Chief Justice, and may it please the Court: The Constitution authorizes states to use their plenary authority to remove a bribed elector, one who engages in a rebellion, or one who would perpetrate a bait and switch on the people of their state by voting contrary to a binding pledge.
By contrast, if a state wishes to treat electors as free agents, rather than as proxy voters, it is free to do so. In short, states determine how to select electors and ensure that they meet the relevant requirements and perform their duties as assigned.
This means, the Court should keep faith with the system, keep faith with the Constitution until amended and maintain indirect election, acknowledging that both sides here, both sides have a vision of presidential selection that is imperfect, but the various checks, balances, and separations that our Constitution's drafters and amenders have put into the Constitution, all of those should be given a role in our constitutional universe. And, Your Honors, I -- I think that all adds up to elector discretion. Thank you, Mr. Chief Justice. Thank you, counsel. General Weiser, you have two minutes for rebuttal. Thank you, Mr. Chief Justice.
Let me make three points in response and offer two closing thoughts. First off, on standing, the payment or non-payment of the per diem fee was never before alleged, and any reported non-payment is not in the record. Second, on nominal damages, prior cases like Smith and Bird did not accord standing on nominal damages alone, instead focusing on whether there's an actual personal injury. Second, as to Justice Scalia's important point about congressional remover -- removal in the case of bribery, it's worth noting there is a prescribed removal process for senators, as Justice Alito noted.
In the case of electors, there's no such process, which means this Court's default rule controls.
The power to remove is thus incident to the power to appoint. Third, it's worth noting this is the first time we've seen an elector who violated a state binding law.
Up until now, including the 2016 election, we've always seen Congress defer and count votes as transmitted by the states. Two closing thoughts.
During the course of this entire litigation and this argument today, my friends on the other side have failed to offer any viable theory on how to address the spectacle of a bribed elector, an elector who votes for Frodo Baggins, or one who would perpetrate a bait and switch on the people of our state.
Colorado's pledge requirement addresses all such harms. After over 230 years of constitutional tradition, my friends on the other side would toss out our nation's state-centered model of electoral accountability in favor of a treacherous experiment.
We urge this Court to reject this dangerous time bomb and avoid a potential constitutional crisis by reversing the Tenth Circuit's judgment. Thank you. Thank you, counsel.
The case is submitted.",1.0
